HMDB_ID,Compound_Name,Concentration_uM,Threshold,Confidence_Score
NA,DSS,190.6114045,7.911526998,8.548409889
HMDB00001,1-Methylhistidine,252.308748,9.859943928,5.753622489
HMDB00008,2-Hydroxybutyric acid,351.2365638,4.105048223,5.989965785
HMDB00042,Acetic acid,40.49129652,1.086154238,9.534985721
HMDB00043,Betaine,357.188457,3.619092651,7.623773131
HMDB00060,Acetoacetate,474.1827796,8.995202063,7.404318134
HMDB00062,Carnitine,169.1000724,9.48860122,9.279825899
HMDB00064,Creatine,237.2373862,4.351695,7.009096593
HMDB00094,Citric acid,147.8492578,2.310758783,7.359980082
HMDB00097,Choline,368.750344,3.214994846,9.823146134
HMDB00108,Ethanol,225.2766502,2.845982756,5.311405666
HMDB00122,D-Glucose,49.25396422,6.934005537,9.026439368
HMDB00123,Glycine,496.7011307,2.856657424,8.127107106
HMDB00131,Glycerol,80.52625322,1.126239881,8.785756691
HMDB00142,Formate,103.1220507,9.48021263,5.054523246
HMDB00148,L-Glutamic acid,406.5806066,5.235500651,8.757120261
HMDB00157,Hypoxanthine,56.72934306,1.635820231,9.455383902
HMDB00158,Tyrosine,147.4458197,7.450097217,5.628545065
HMDB00159,L-Phenylalanine,87.85004453,4.882485787,6.180631123
HMDB00161,L-Alanine,136.0965417,7.700335168,5.298155796
HMDB00162,L-Proline,425.9969608,8.334827244,5.096206707
HMDB00167,L-Threonine,279.956072,9.26028715,9.917692542
HMDB00168,L-Asparagine,183.1265406,1.007860434,5.619540603
HMDB00172,Isoleucine,207.1715315,9.022853842,8.939689337
HMDB00177,L-Histidine,179.7336035,4.045575466,6.545071898
HMDB00182,L-Lysine,364.3480859,4.327617066,6.480200662
HMDB00187,L-Serine,188.3357734,2.560106264,8.792591973
HMDB00190,L-Lactic acid,479.2394902,1.120361531,6.240664989
HMDB00191,Aspartate,212.1957829,7.335270857,9.993182753
HMDB00214,L-Ornithine,317.6258369,8.869225755,8.810087433
HMDB00243,Pyruvic acid,275.4566782,4.345195922,6.642076874
HMDB00254,Succinate,128.2162522,6.58577991,5.825682539
HMDB00294,Urea,198.5007263,9.091875946,7.861105155
HMDB00357,3-Hydroxybutyric acid,32.80258101,6.66275389,6.257446861
HMDB00517,L-Arginine,340.6356562,2.199384672,7.288186145
HMDB00562,Creatinine,211.8160985,5.090999245,6.62549043
HMDB00641,L-Glutamine,141.9238005,6.929325597,9.322778138
HMDB00687,L-Leucine,400.7596306,2.500915374,5.647979728
HMDB00691,Malonate,183.207453,5.217720715,9.178138651
HMDB00696,Methionine,266.5785666,7.758524519,8.279447377
HMDB00863,Isopropyl alcohol,213.146501,3.861586212,5.785679388
HMDB00883,Valine,355.5826505,7.52842607,8.480692884
HMDB00929,Tryptophan,290.4990951,5.457778227,5.442684197
HMDB01659,Acetone,360.0912251,7.443215785,5.93905741
HMDB01873,Isobutyric acid,204.5920672,1.247633047,9.82691827
HMDB01875,Methanol,325.0153693,3.572020991,6.324544933
HMDB01881,Propylene glycol,200.6833886,4.567739188,6.19953573
HMDB04983,Dimethyl sulfone,361.183379,4.614292584,5.886843399
