HMDB_ID,Compound_Name,Concentration_uM,Threshold,Confidence_Score
NA,DSS,495.2975873,0.514472455,0
HMDB00001,1-Methylhistidine,84.82792515,5.448806676,4.97573386
HMDB00008,2-Hydroxybutyric acid,36.20824337,6.300972482,8.244890886
HMDB00042,Acetic acid,11.17750135,4.348166075,8.883097014
HMDB00043,Betaine,43.03439895,5.404870496,11.14808936
HMDB00060,Acetoacetate,4.626647939,5.730768038,7.698419296
HMDB00062,Carnitine,29.13938131,5.215919183,9.755339152
HMDB00064,Creatine,32.28730925,4.90736872,7.927895135
HMDB00094,Citric acid,194.3485336,5.535446557,8.616339795
HMDB00097,Choline,19.66243092,1.527951687,9.564808017
HMDB00108,Ethanol,47.40334944,6.405248559,8.28625205
HMDB00122,D-Glucose,1915.193723,28.68232594,11.28075021
HMDB00123,Glycine,470.2470353,6.264228484,11.32979847
HMDB00131,Glycerol,79.05416256,4.948931717,8.617061905
HMDB00142,Formate,22.82237678,5.12628334,9.97852699
HMDB00148,L-Glutamic acid,374.475207,5.257898403,10.23613092
HMDB00157,Hypoxanthine,2.659683213,4.89818172,10.60032211
HMDB00158,Tyrosine,26.38919097,5.420942814,9.454715075
HMDB00159,L-Phenylalanine,79.22543888,5.505379363,11.00012775
HMDB00161,L-Alanine,226.41058,12.80679141,8.603559809
HMDB00162,L-Proline,167.3324033,6.526684896,10.79080887
HMDB00167,L-Threonine,197.0443158,5.155423558,8.072075609
HMDB00168,L-Asparagine,67.69709263,17.66166464,2.949415041
HMDB00172,Isoleucine,86.3640886,5.583832745,7.185842041
HMDB00177,L-Histidine,152.8682004,4.881121447,7.10271094
HMDB00182,L-Lysine,146.7114761,6.121663654,9.449755251
HMDB00187,L-Serine,182.7569177,5.842373554,3.669737979
HMDB00190,L-Lactic acid,8868.510709,13.03053414,9.973830001
HMDB00191,Aspartate,56.00360832,15.63166085,10.2194546
HMDB00214,L-Ornithine,116.2453331,18.18966666,5.157530834
HMDB00243,Pyruvic acid,126.2059144,5.442692075,9.195990936
HMDB00254,Succinate,13.38278769,5.19033316,7.925720075
HMDB00294,Urea,275.6702612,293.4785331,8.580969182
HMDB00357,3-Hydroxybutyric acid,61.94562728,6.065855878,8.500450943
HMDB00517,L-Arginine,58.75532802,5.269451849,6.504624267
HMDB00562,Creatinine,54.30537264,5.855835559,10.12912462
HMDB00641,L-Glutamine,919.2717466,5.604051053,8.578588682
HMDB00687,L-Leucine,132.3901826,5.636804173,10.7392391
HMDB00691,Malonate,7.61662381,12.42355916,6.567327622
HMDB00696,Methionine,25.84929076,6.481811512,8.906480622
HMDB00863,Isopropyl alcohol,7.442273527,5.046844393,9.647311166
HMDB00883,Valine,287.1185366,10.22251919,11.37069693
HMDB00929,Tryptophan,6.618381644,16.48403046,5.740626306
HMDB01659,Acetone,12.60784074,5.937847418,9.986418761
HMDB01873,Isobutyric acid,8.48832774,4.750140562,9.91971274
HMDB01875,Methanol,242.2540358,10.43246942,10.88699278
HMDB01881,Propylene glycol,1.143611306,6.037649745,9.271577376
HMDB04983,Dimethyl sulfone,29.07066015,5.119567232,10.95143599
