HMDB_ID,Compound_Name,Concentration_uM,Threshold,Confidence_Score
NA,DSS,716.683494,1.123661967,6.228135193
HMDB00001,1-Methylhistidine,1047.360867,7.116518414,8.883220405
HMDB00008,2-Hydroxybutyric acid,105.3897086,4.901434831,1.866056209
HMDB00042,Acetic acid,362.5116765,2.310351228,2.571849219
HMDB00043,Betaine,295.6612345,8.284644032,5.34201781
HMDB00060,Acetoacetate,278.6369964,9.540260104,7.142664113
HMDB00062,Carnitine,180.5936797,4.760803758,3.6163195
HMDB00064,Creatine,768.9288635,1.410444147,3.236836155
HMDB00094,Citric acid,1003.591136,7.365511012,6.950471171
HMDB00097,Choline,813.2868527,7.519081704,3.932969095
HMDB00108,Ethanol,398.3003481,9.108260453,6.925696827
HMDB00122,D-Glucose,326.1804777,3.148089729,4.34402978
HMDB00123,Glycine,1042.04065,1.127761146,8.413456658
HMDB00131,Glycerol,258.5954685,2.539102166,6.718978808
HMDB00142,Formate,50.26643381,3.29649545,6.744264069
HMDB00148,L-Glutamic acid,412.0825544,8.061561733,9.505646509
HMDB00157,Hypoxanthine,749.632121,6.837394199,5.285732118
HMDB00158,Tyrosine,46.61861753,2.06700038,7.64315689
HMDB00159,L-Phenylalanine,302.1271336,1.699336211,1.171362555
HMDB00161,L-Alanine,747.6106509,8.144009253,9.93805974
HMDB00162,L-Proline,269.6564815,1.636173037,3.967654063
HMDB00167,L-Threonine,673.6401434,4.030191534,4.909878414
HMDB00168,L-Asparagine,620.705937,7.18427238,4.73980976
HMDB00172,Isoleucine,950.2870128,1.748547344,7.683631706
HMDB00177,L-Histidine,462.2507091,9.535204015,2.413380659
HMDB00182,L-Lysine,638.9125786,3.259871894,6.551896028
HMDB00187,L-Serine,556.2992003,6.646419907,1.539490239
HMDB00190,L-Lactic acid,504.3755689,6.209274652,1.485647324
HMDB00191,Aspartate,696.5465769,4.438837772,10.45087491
HMDB00214,L-Ornithine,33.72551852,9.414164033,1.984500102
HMDB00243,Pyruvic acid,103.9868795,6.209859877,5.441033105
HMDB00254,Succinate,694.254071,7.72637122,4.038457864
HMDB00294,Urea,814.1057274,7.306193567,4.051651618
HMDB00357,3-Hydroxybutyric acid,503.1442362,3.279802362,9.206055629
HMDB00517,L-Arginine,820.6692857,8.367592664,5.896889868
HMDB00562,Creatinine,829.0765224,2.537807114,2.929762676
HMDB00641,L-Glutamine,559.0068455,7.428073831,8.53668423
HMDB00687,L-Leucine,368.1483297,6.600420455,4.78400658
HMDB00691,Malonate,462.8620567,8.939127626,6.172394242
HMDB00696,Methionine,622.1648699,5.417881061,1.187408388
HMDB00863,Isopropyl alcohol,907.5911643,5.857742533,3.102994195
HMDB00883,Valine,869.6751353,1.961235017,7.543808717
HMDB00929,Tryptophan,818.860421,7.245472907,8.722762578
HMDB01659,Acetone,959.7018172,9.870176871,6.154203275
HMDB01873,Isobutyric acid,789.3298692,9.324712479,4.258344582
HMDB01875,Methanol,523.4213224,2.712282109,1.56757798
HMDB01881,Propylene glycol,454.2815778,8.61205156,8.476364189
HMDB04983,Dimethyl sulfone,290.0563521,4.894928536,7.712091385
