HMDB_ID,Compound_Name,Concentration_uM,Threshold,Confidence_Score
NA,DSS,195.040016,8.102073108,7.858036421
HMDB00001,1-Methylhistidine,228.6822706,10.5008786,5.220203396
HMDB00008,2-Hydroxybutyric acid,360.3207241,4.502151886,6.146621126
HMDB00042,Acetic acid,41.46032919,1.080375662,9.164579065
HMDB00043,Betaine,335.8020912,3.924514524,7.6393515
HMDB00060,Acetoacetate,501.3825242,9.151899258,7.743319589
HMDB00062,Carnitine,163.7693338,10.30981052,8.986297469
HMDB00064,Creatine,242.0631807,4.034141892,6.388769129
HMDB00094,Citric acid,146.1054066,2.467489065,7.496250352
HMDB00097,Choline,347.1329694,3.295619617,9.037289343
HMDB00108,Ethanol,223.1367399,3.066123495,5.364435014
HMDB00122,D-Glucose,52.58374251,6.967351104,9.867556511
HMDB00123,Glycine,539.4374558,3.135432638,7.874522393
HMDB00131,Glycerol,85.77705378,1.165452515,8.138157219
HMDB00142,Formate,111.2464418,8.553121937,4.57583583
HMDB00148,L-Glutamic acid,397.5663019,5.099227618,8.768365114
HMDB00157,Hypoxanthine,54.05188138,1.531206991,8.875765824
HMDB00158,Tyrosine,138.3504122,7.384730602,5.538607074
HMDB00159,L-Phenylalanine,79.22527652,4.454220798,5.732210071
HMDB00161,L-Alanine,128.7067372,7.079707655,4.86515026
HMDB00162,L-Proline,400.9611759,7.729650633,4.763197849
HMDB00167,L-Threonine,278.6717582,8.526960844,9.514416555
HMDB00168,L-Asparagine,167.1656091,1.040969988,5.316484617
HMDB00172,Isoleucine,199.2611306,8.584660406,9.087861464
HMDB00177,L-Histidine,162.5732793,4.367845285,6.599319838
HMDB00182,L-Lysine,339.593228,4.701298561,6.277991722
HMDB00187,L-Serine,186.1572222,2.695789841,8.768680595
HMDB00190,L-Lactic acid,468.6406663,1.211054855,6.538618123
HMDB00191,Aspartate,217.5097808,7.653804662,10.59083074
HMDB00214,L-Ornithine,324.0213926,8.616147525,8.19391044
HMDB00243,Pyruvic acid,268.2012055,4.266057698,6.086989069
HMDB00254,Succinate,120.7153921,6.844287096,6.090916379
HMDB00294,Urea,182.9175613,8.989126614,8.532859202
HMDB00357,3-Hydroxybutyric acid,30.56304999,7.295711905,6.392942449
HMDB00517,L-Arginine,357.1268262,2.165452106,7.071853511
HMDB00562,Creatinine,191.1998465,4.673905006,6.561313211
HMDB00641,L-Glutamine,134.091412,6.615017951,9.39362425
HMDB00687,L-Leucine,416.6666853,2.586792909,5.710659823
HMDB00691,Malonate,185.7607345,4.929020508,8.324861762
HMDB00696,Methionine,272.4730844,7.741136256,8.585151755
HMDB00863,Isopropyl alcohol,194.9196244,3.986286169,6.174267359
HMDB00883,Valine,321.9193784,7.023566286,8.89732659
HMDB00929,Tryptophan,317.7566408,5.734148659,5.457449978
HMDB01659,Acetone,361.320489,6.858522446,5.690093213
HMDB01873,Isobutyric acid,220.2434893,1.204117581,8.92334235
HMDB01875,Methanol,305.9742637,3.740355529,6.163755596
HMDB01881,Propylene glycol,192.8192206,4.89629236,6.478709803
HMDB04983,Dimethyl sulfone,347.5369818,4.82639638,5.456898989
