HMDB_ID,Compound_Name,Concentration_uM,Threshold,Confidence_Score
NA,DSS,500,0.6,
HMDB00001,1-Methylhistidine,96.5,5.7,5
HMDB00008,2-Hydroxybutyric acid,33.3,5.7,9
HMDB00042,Acetic acid,12.6,4,10
HMDB00043,Betaine,44.5,5.7,10
HMDB00060,Acetoacetate,4.9,5.7,8
HMDB00062,Carnitine,32.4,5.7,9
HMDB00064,Creatine,31.8,5.7,7
HMDB00094,Citric acid,187.7,5.7,10
HMDB00097,Choline,17.5,1.7,10
HMDB00108,Ethanol,41.8,5.7,9
HMDB00122,D-Glucose,1781.5,28.7,10
HMDB00123,Glycine,411.3,5.7,10
HMDB00131,Glycerol,87.7,5.7,9
HMDB00142,Formate,26.4,4.6,9
HMDB00148,L-Glutamic acid,377.7,5.7,10
HMDB00157,Hypoxanthine,2.5,5.7,10
HMDB00158,Tyrosine,27.1,5.7,10
HMDB00159,L-Phenylalanine,81.5,5.7,10
HMDB00161,L-Alanine,231.2,11.5,10
HMDB00162,L-Proline,149.9,5.7,10
HMDB00167,L-Threonine,223.8,5.7,9
HMDB00168,L-Asparagine,64.5,17.2,3
HMDB00172,Isoleucine,84.9,5.7,7
HMDB00177,L-Histidine,170.2,5.7,7
HMDB00182,L-Lysine,132.9,5.7,9
HMDB00187,L-Serine,181.2,5.7,4
HMDB00190,L-Lactic acid,9312.9,11.5,10
HMDB00191,Aspartate,56.5,14.4,9
HMDB00214,L-Ornithine,126.5,17.2,6
HMDB00243,Pyruvic acid,129.2,5.7,8
HMDB00254,Succinate,14.9,5.7,8
HMDB00294,Urea,259.7,287.4,8
HMDB00357,3-Hydroxybutyric acid,67.7,5.7,10
HMDB00517,L-Arginine,55.4,5.7,6
HMDB00562,Creatinine,56.7,5.7,10
HMDB00641,L-Glutamine,978.6,5.7,10
HMDB00687,L-Leucine,149.4,5.7,10
HMDB00691,Malonate,7.5,11.5,7
HMDB00696,Methionine,28,5.7,10
HMDB00863,Isopropyl alcohol,6.5,5.7,10
HMDB00883,Valine,269.6,11.5,10
HMDB00929,Tryptophan,6.5,17.2,5
HMDB01659,Acetone,14.8,5.7,10
HMDB01873,Isobutyric acid,7.4,4.6,10
HMDB01875,Methanol,252,11.5,10
HMDB01881,Propylene glycol,1.2,5.7,10
HMDB04983,Dimethyl sulfone,27.6,5.7,10
