HMDB_ID,Compound_Name,Concentration_uM,Threshold,Confidence_Score
NA,DSS,761.6904364,1.215197066,6.710505937
HMDB00001,1-Methylhistidine,958.4280562,6.636100655,8.619425775
HMDB00008,2-Hydroxybutyric acid,96.74925998,4.950916761,1.716172365
HMDB00042,Acetic acid,395.4545393,2.113179305,2.592521452
HMDB00043,Betaine,294.9922977,8.360568214,5.285638028
HMDB00060,Acetoacetate,292.391519,9.582793364,7.066771862
HMDB00062,Carnitine,166.7426548,5.145616272,3.669983782
HMDB00064,Creatine,704.5520075,1.374767273,3.081112671
HMDB00094,Citric acid,984.0085746,6.878818574,7.429002904
HMDB00097,Choline,743.5443607,8.186507155,3.827160989
HMDB00108,Ethanol,382.4817291,9.692083526,6.474947025
HMDB00122,D-Glucose,325.1865971,3.181267014,4.73159594
HMDB00123,Glycine,983.1407022,1.13650865,7.821761213
HMDB00131,Glycerol,253.0397841,2.446971327,6.274729401
HMDB00142,Formate,48.10174493,3.446570574,6.427799194
HMDB00148,L-Glutamic acid,451.9859623,8.594984621,8.728349179
HMDB00157,Hypoxanthine,715.8325773,6.554973532,4.805286968
HMDB00158,Tyrosine,44.01731064,1.980019372,7.300489247
HMDB00159,L-Phenylalanine,311.1461864,1.808627875,1.233368329
HMDB00161,L-Alanine,814.1759755,7.992911339,9.995460737
HMDB00162,L-Proline,278.8191018,1.634483874,4.041073921
HMDB00167,L-Threonine,732.5551851,4.469150924,4.63908564
HMDB00168,L-Asparagine,576.3468947,7.556077944,4.377158611
HMDB00172,Isoleucine,989.0966088,1.62913104,8.506914105
HMDB00177,L-Histidine,426.3311381,9.596347833,2.675493258
HMDB00182,L-Lysine,582.4333336,3.071525567,6.711929785
HMDB00187,L-Serine,592.0514981,6.235436857,1.41509403
HMDB00190,L-Lactic acid,499.1753235,5.813273894,1.490807447
HMDB00191,Aspartate,667.1957044,4.3587255,9.798671625
HMDB00214,L-Ornithine,37.15737475,9.190921149,1.884937522
HMDB00243,Pyruvic acid,102.5333598,6.177916313,5.915137228
HMDB00254,Succinate,696.3521003,7.778265403,4.043434554
HMDB00294,Urea,765.4098627,6.686506028,3.829031021
HMDB00357,3-Hydroxybutyric acid,531.5885331,3.260980189,9.521969903
HMDB00517,L-Arginine,905.7943209,7.875990838,5.828030873
HMDB00562,Creatinine,872.0417715,2.475343958,3.155627092
HMDB00641,L-Glutamine,544.3166378,7.282845667,9.016218152
HMDB00687,L-Leucine,335.2568675,6.048704916,4.592867847
HMDB00691,Malonate,454.9346577,8.72457818,6.345907075
HMDB00696,Methionine,603.391837,5.66321691,1.217824873
HMDB00863,Isopropyl alcohol,837.0200545,5.390813754,3.115281377
HMDB00883,Valine,935.1132099,2.02203758,6.979564649
HMDB00929,Tryptophan,851.3627675,6.784804559,9.646630264
HMDB01659,Acetone,931.9614662,9.708729235,6.288855565
HMDB01873,Isobutyric acid,767.3727324,9.864902454,4.217579909
HMDB01875,Methanol,538.3931959,3.003764768,1.564971226
HMDB01881,Propylene glycol,473.2629849,8.876403564,8.744626763
HMDB04983,Dimethyl sulfone,299.543784,5.128920323,7.98458634
